assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCF_016065055.1,PRJNA224116,SAMN17013084,na,reference genome,1198301,1198301,Halosimplex litoreum,strain=YGH94,na,latest,Complete Genome,Major,Full,15/12/2020,ASM1606505v1,Jiangsu University,GCA_016065055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/065/055/GCF_016065055.1_ASM1606505v1,na,assembly from type material,na,haploid,archaea,4158049,4158049,68.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),16/02/2024,4118,4043,55,na
GCF_000591035.1,PRJNA224116,SAMD00061006,na,reference genome,1198449,229980,Aeropyrum camini SY1 = JCM 12091,strain=SY1,na,latest,Complete Genome,Major,Full,27/09/2013,ASM59103v1,"Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University",GCA_000591035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/591/035/GCF_000591035.1_ASM59103v1,na,assembly from type material,na,haploid,archaea,1595994,1595994,56.5,1,1,1,NCBI RefSeq,GCF_000591035.1-RS_2024_03_28,28/03/2024,1682,1626,51,23872576
GCF_000304355.2,PRJNA224116,SAMEA2272323,na,reference genome,1201294,83986,Methanoculleus bourgensis MS2,strain=type strain:MS2,na,latest,Complete Genome,Major,Full,04/02/2014,Mb_MS2,irena.maus,GCA_000304355.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/355/GCF_000304355.2_Mb_MS2,na,assembly from type material,na,haploid,archaea,2789774,2789774,60.5,1,1,1,NCBI RefSeq,GCF_000304355.2-RS_2024_04_06,06/04/2024,2681,2622,52,na
GCF_000299365.1,PRJNA224116,SAMN02603137,na,reference genome,1229908,1510466,Candidatus Nitrosopumilus koreensis AR1,strain=AR1,na,latest,Complete Genome,Major,Full,27/09/2012,ASM29936v1,Chungbuk National University,GCA_000299365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/365/GCF_000299365.1_ASM29936v1,na,na,na,haploid,archaea,1639964,1639964,34,1,1,1,NCBI RefSeq,GCF_000299365.1-RS_2024_03_28,28/03/2024,2048,1976,47,23209206
GCF_000299395.1,PRJNA224116,SAMN02603138,na,reference genome,1229909,1229909,Candidatus Nitrosopumilus sediminis,strain=AR2,na,latest,Complete Genome,Major,Full,27/09/2012,ASM29939v1,Chungbuk National University,GCA_000299395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/395/GCF_000299395.1_ASM29939v1,na,na,na,haploid,archaea,1690905,1690905,33.5,1,1,1,NCBI RefSeq,GCF_000299395.1-RS_2024_03_28,28/03/2024,2129,2078,48,23209211
GCF_000300255.2,PRJNA224116,SAMN03081445,na,na,1236689,1291540,Candidatus Methanomethylophilus alvi Mx1201,strain=Mx1201,na,latest,Complete Genome,Major,Full,09/04/2013,ASM30025v2,Université d'Auvergne,GCA_000300255.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/255/GCF_000300255.2_ASM30025v2,na,na,na,haploid,archaea,1666795,1666795,55.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/12/2023,1677,1613,52,23209209
GCF_000341715.1,PRJNA224116,SAMN02603746,na,na,1236903,2209,Methanosarcina mazei Tuc01,strain=Tuc01,na,latest,Complete Genome,Major,Full,22/02/2013,ASM34171v1,Rede Paraense de Genomica e Proteomica,GCA_000341715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/715/GCF_000341715.1_ASM34171v1,na,na,na,haploid,archaea,3427949,3427949,42.5,1,1,1,NCBI RefSeq,GCF_000341715.1-RS_2024_04_16,16/04/2024,3197,2984,53,23704185
GCF_000303155.1,PRJNA224116,SAMN02603264,na,reference genome,1237085,497727,Candidatus Nitrososphaera gargensis Ga9.2,na,enrichment culture Ga9.2,latest,Complete Genome,Major,Full,05/10/2012,ASM30315v1,Georg-August-University Goettingen,GCA_000303155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/303/155/GCF_000303155.1_ASM30315v1,na,na,na,haploid,archaea,2833868,2833868,48.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/01/2024,3600,3512,51,23057602
GCF_000364745.1,PRJNA224116,SAMN02603709,na,na,1241935,43080,Sulfolobus islandicus LAL14/1,strain=LAL14/1,na,latest,Complete Genome,Major,Full,15/04/2013,ASM36474v1,"Pasteur Institute, Paris, France",GCA_000364745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/745/GCF_000364745.1_ASM36474v1,na,na,na,haploid,archaea,2465177,2465177,35,1,1,1,NCBI RefSeq,GCF_000364745.1-RS_2024_03_30,30/03/2024,2752,2544,51,23594878
GCF_001412615.1,PRJNA224116,SAMN03223811,na,reference genome,1273541,1273541,Pyrodictium delaneyi,strain=Su06,na,latest,Complete Genome,Major,Full,26/10/2015,ASM141261v1,Kyung Hee University,GCA_001412615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/615/GCF_001412615.1_ASM141261v1,na,assembly from type material,na,haploid,archaea,2023836,2023836,54,1,1,1,NCBI RefSeq,GCF_001412615.1-RS_2024_03_28,28/03/2024,2115,2058,54,na
GCF_902387285.1,PRJNA224116,SAMEA5851961,na,na,1291540,1291540,Methanomethylophilus alvi,na,MGYG-HGUT-02456,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02456,EMG,GCA_902387285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/285/GCF_902387285.1_UHGG_MGYG-HGUT-02456,na,na,na,haploid,archaea,1666795,1666795,55.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/12/2023,1680,1616,52,na
GCF_003201675.2,PRJNA224116,SAMN09071531,na,reference genome,1293036,79601,Metallosphaera hakonensis JCM 8857 = DSM 7519,strain=HO1-1,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320167v2,North Carolina State University,GCA_003201675.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/675/GCF_003201675.2_ASM320167v2,na,assembly from type material,na,haploid,archaea,2544115,2544115,43.5,1,1,1,NCBI RefSeq,GCF_003201675.2-RS_2024_03_29,29/03/2024,2639,2449,51,na
GCF_002214365.1,PRJNA224116,SAMN03324154,na,reference genome,1293037,2264,Thermococcus celer Vu 13 = JCM 8558,strain=Vu 13,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221436v1,Ecole Normale Superieure de Lyon,GCA_002214365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/365/GCF_002214365.1_ASM221436v1,na,assembly from type material,na,haploid,archaea,1866819,1866819,56.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2051,1967,52,na
GCF_026000775.1,PRJNA224116,SAMD00535535,na,reference genome,1293586,164452,Vulcanisaeta souniana JCM 11219,strain=IC-059,na,latest,Complete Genome,Major,Full,08/10/2022,ASM2600077v1,"RIKEN-BRC, JCM",GCA_026000775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/000/775/GCF_026000775.1_ASM2600077v1,na,assembly from type material,na,haploid,archaea,2432148,2432148,45,1,1,1,NCBI RefSeq,GCF_026000775.1-RS_2024_06_10,10/06/2024,2651,2577,50,36598242
GCF_008326425.1,PRJNA224116,SAMD00137265,na,reference genome,1294262,1294262,Sulfuracidifex tepidarius,strain=IC-006,na,latest,Complete Genome,Major,Full,09/08/2019,SulIC006_1.0,RIKEN-BRC,GCA_008326425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/326/425/GCF_008326425.1_SulIC006_1.0,na,assembly from type material,na,haploid,archaea,2560765,2560765,42.5,1,1,1,NCBI RefSeq,GCF_008326425.1-RS_2024_08_19,19/08/2024,2682,2546,52,31958046
GCF_000404225.1,PRJNA224116,SAMN03081468,na,na,1295009,1406512,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,strain=Issoire-Mx1,na,latest,Complete Genome,Major,Full,03/06/2013,ASM40422v1,Universite d'Auvergne,GCA_000404225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/404/225/GCF_000404225.1_ASM40422v1,na,na,na,haploid,archaea,1931651,1931651,41.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/03/2024,1896,1838,52,23846268
GCF_000739065.1,PRJNA224116,SAMN02951366,na,reference genome,1301915,1301915,Methanocaldococcus bathoardescens,strain=JH146,na,latest,Complete Genome,Major,Full,12/08/2014,ASM73906v1,Kyung Hee University,GCA_000739065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/065/GCF_000739065.1_ASM73906v1,na,assembly from type material,na,haploid,archaea,1607556,1607556,31,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/03/2024,1720,1660,45,25634941;26094864
GCF_000403645.1,PRJNA224116,SAMN02602994,na,na,1333523,1333523,Salinarchaeum sp. Harcht-Bsk1,strain=Harcht-Bsk1,na,latest,Complete Genome,Major,Full,30/05/2013,ASM40364v1,Baltic Federal University,GCA_000403645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/645/GCF_000403645.1_ASM40364v1,na,na,na,haploid,archaea,3255260,3255260,66.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),20/09/2023,3122,3048,52,23868130
GCF_000725425.1,PRJNA224116,SAMN03081469,na,reference genome,1343739,971279,Palaeococcus pacificus DY20341,strain=DY20341,na,latest,Complete Genome,Major,Full,14/07/2014,ASM72542v1,"The third institute of oceanography of SOA,PRChina",GCA_000725425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/425/GCF_000725425.1_ASM72542v1,na,assembly from type material,na,haploid,archaea,1859370,1859370,43,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/02/2024,2032,1969,55,26383653
GCF_000734035.1,PRJNA224116,SAMN03081472,na,na,1344584,2234,Archaeoglobus fulgidus DSM 8774,strain=DSM 8774,na,latest,Complete Genome,Major,Full,28/07/2014,ASM73403v1,University Bergen,GCA_000734035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/035/GCF_000734035.1_ASM73403v1,na,na,na,haploid,archaea,2316287,2316287,48,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/02/2024,2685,2610,51,na
GCF_030518575.1,PRJNA224116,SAMN35994745,na,na,1353246,1353246,Candidatus Nitrosotenuis chungbukensis,strain=MY2,na,latest,Complete Genome,Major,Full,23/07/2023,ASM3051857v1,ChungBuk National University,GCA_030518575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/518/575/GCF_030518575.1_ASM3051857v1,na,na,na,haploid,archaea,1767303,1767303,42,1,1,1,NCBI RefSeq,GCF_030518575.1-RS_2024_03_31,31/03/2024,2438,2051,50,24705324
GCF_000802205.1,PRJNA224116,SAMN03074222,na,na,1353260,1353260,Candidatus Nitrosocosmicus oleophilus,strain=MY3,na,latest,Complete Genome,Major,Full,08/10/2015,ASM80220v2,Chungbuk National University,GCA_000802205.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/205/GCF_000802205.1_ASM80220v2,na,na,na,haploid,archaea,3430706,3430706,34,1,1,1,NCBI RefSeq,GCF_000802205.1-RS_2024_03_31,31/03/2024,3331,3252,54,27700018
GCF_025231485.1,PRJNA224116,SAMN30618693,na,reference genome,1364945,1364945,Salinirubellus salinus,strain=ZS-35-S2,na,latest,Complete Genome,Major,Full,11/09/2022,ASM2523148v1,Jiangsu University,GCA_025231485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/231/485/GCF_025231485.1_ASM2523148v1,na,assembly from type material,na,haploid,archaea,4376714,4376714,68.5,2,2,2,NCBI RefSeq,GCF_025231485.1-RS_2024_07_29,29/07/2024,4510,4409,53,na
GCF_000446015.1,PRJNA224116,SAMN02602995,na,reference genome,1365176,1365176,Thermofilum adornatum,strain=1910b,na,latest,Complete Genome,Major,Full,13/08/2013,ASM44601v1,Baltic Federal University,GCA_000446015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/446/015/GCF_000446015.1_ASM44601v1,na,assembly from type material,na,haploid,archaea,1750259,1750259,46.5,1,1,1,NCBI RefSeq,GCF_000446015.1-RS_2024_03_28,28/03/2024,1916,1862,48,24029764
GCF_009690625.1,PRJNA224116,SAMN10411009,na,na,1380432,1380432,Halorhabdus sp. CBA1104,strain=CBA1104,na,latest,Complete Genome,Major,Full,22/11/2019,ASM969062v1,World Institute of Kimchi,GCA_009690625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/690/625/GCF_009690625.1_ASM969062v1,na,na,na,haploid,archaea,2628395,2628395,62.5,1,1,1,NCBI RefSeq,GCF_009690625.1-RS_2024_08_15,15/08/2024,2657,2529,51,na
GCF_902383905.1,PRJNA224116,SAMEA5851664,na,reference genome,1406512,1406512,Candidatus Methanomassiliicoccus intestinalis,na,MGYG-HGUT-02160,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02160,EMG,GCA_902383905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/383/905/GCF_902383905.1_UHGG_MGYG-HGUT-02160,na,na,na,haploid,archaea,1931651,1931651,41.5,1,1,1,NCBI RefSeq,GCF_902383905.1-RS_2024_04_05,05/04/2024,1897,1839,52,na
GCF_001488575.1,PRJNA224116,SAMEA3305703,na,reference genome,1407499,1407499,Halobacterium hubeiense,strain=JI20-1,na,latest,Complete Genome,Major,Full,17/12/2015,Halobacterium hubeiense JI20-1,UH,GCA_001488575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1,na,assembly from type material,na,haploid,archaea,3130345,3130345,66.5,4,4,4,NCBI RefSeq,GCF_001488575.1-RS_2024_03_21,21/03/2024,3360,3269,52,na
GCF_000812185.1,PRJNA224116,SAMN03273964,na,reference genome,1410606,1410606,Candidatus Nitrosopelagicus brevis,strain=CN25,na,latest,Complete Genome,Major,Full,31/12/2014,ASM81218v1,J. Craig Venter Institute,GCA_000812185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/185/GCF_000812185.1_ASM81218v1,na,na,na,haploid,archaea,1232128,1232128,33,1,1,1,NCBI RefSeq,GCF_000812185.1-RS_2024_08_11,11/08/2024,1506,1456,47,25587132
GCF_000504565.1,PRJNA224116,SAMN02393367,na,na,1417673,51589,Haloarcula hispanica N601,strain=N601,na,latest,Complete Genome,Major,Full,09/01/2014,ASM50456v2,"Academia Sinica, Taipei, Taiwan",GCA_000504565.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/565/GCF_000504565.1_ASM50456v2,na,na,na,haploid,archaea,3901495,3901495,62.5,4,4,4,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/02/2024,3950,3844,60,24625874
GCF_000816105.1,PRJNA224116,SAMN02429659,na,reference genome,1432656,110164,Thermococcus guaymasensis DSM 11113,strain=DSM 11113,na,latest,Complete Genome,Major,Full,07/01/2015,ASM81610v1,University of Waterloo,GCA_000816105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/105/GCF_000816105.1_ASM81610v1,na,assembly from type material,na,haploid,archaea,1920914,1920914,53,1,1,1,NCBI RefSeq,GCF_000816105.1-RS_2024_05_02,02/05/2024,2152,2082,52,na
GCF_000969945.1,PRJNA224116,SAMN03074590,na,na,1434099,1434099,Methanosarcina sp. Kolksee,strain=Kolksee,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96994v1,University of Illinois at Urbana-Champaign,GCA_000969945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/945/GCF_000969945.1_ASM96994v1,na,na,na,haploid,archaea,4553495,4553495,40,2,2,2,NCBI RefSeq,GCF_000969945.1-RS_2024_08_13,13/08/2024,3830,3652,71,na
GCF_000970045.1,PRJNA224116,SAMN03074591,na,na,1434100,1434100,Methanosarcina sp. MTP4,strain=MTP4,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97004v1,University of Illinois at Urbana-Champaign,GCA_000970045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/045/GCF_000970045.1_ASM97004v1,na,na,na,haploid,archaea,4211468,4211468,46,1,1,1,NCBI RefSeq,GCF_000970045.1-RS_2024_08_13,13/08/2024,3560,3439,67,na
GCF_000970005.1,PRJNA224116,SAMN03074593,na,na,1434102,1434102,Methanosarcina sp. WH1,strain=WH1,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97000v1,University of Illinois at Urbana-Champaign,GCA_000970005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/005/GCF_000970005.1_ASM97000v1,na,na,na,haploid,archaea,3914091,3914091,42,1,1,1,NCBI RefSeq,GCF_000970005.1-RS_2024_08_13,13/08/2024,3532,3318,67,na
GCF_000969965.1,PRJNA224116,SAMN03074594,na,na,1434103,1434103,Methanosarcina sp. WWM596,strain=WWM596,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96996v1,University of Illinois at Urbana-Champaign,GCA_000969965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/965/GCF_000969965.1_ASM96996v1,na,na,na,haploid,archaea,4137337,4137337,41.5,1,1,1,NCBI RefSeq,GCF_000969965.1-RS_2024_08_13,13/08/2024,3775,3548,69,na
GCF_000970325.1,PRJNA224116,SAMN03074571,na,na,1434104,2226,Methanococcoides methylutens MM1,strain=MM1,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97032v1,University of Illinois at Urbana-Champaign,GCA_000970325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/325/GCF_000970325.1_ASM97032v1,na,na,na,haploid,archaea,2394636,2394636,44,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/02/2024,2381,2293,67,na
GCF_000970065.1,PRJNA224116,SAMN03074573,na,na,1434106,2208,Methanosarcina barkeri 227,strain=227,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97006v1,University of Illinois at Urbana-Champaign,GCA_000970065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/065/GCF_000970065.1_ASM97006v1,na,na,na,haploid,archaea,4487566,4487566,39,2,2,2,NCBI RefSeq,GCF_000970065.1-RS_2024_03_28,28/03/2024,3801,3583,71,na
GCF_000970305.1,PRJNA224116,SAMN03074574,na,na,1434107,2208,Methanosarcina barkeri 3,strain=3,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97030v1,University of Illinois at Urbana-Champaign,GCA_000970305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/305/GCF_000970305.1_ASM97030v1,na,na,na,haploid,archaea,4560446,4560446,39,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3837,3719,68,na
GCF_000970025.1,PRJNA224116,SAMN03074575,na,reference genome,1434108,2208,Methanosarcina barkeri MS,strain=MS,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97002v1,University of Illinois at Urbana-Champaign,GCA_000970025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/025/GCF_000970025.1_ASM97002v1,na,assembly from type material,na,haploid,archaea,4574907,4574907,39,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3825,3618,69,na
GCF_000969985.1,PRJNA224116,SAMN03074576,na,na,1434109,2208,Methanosarcina barkeri str. Wiesmoor,strain=Wiesmoor,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96998v1,University of Illinois at Urbana-Champaign,GCA_000969985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/985/GCF_000969985.1_ASM96998v1,na,na,na,haploid,archaea,4907186,4907186,39,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,4073,3841,73,na
GCF_000970285.1,PRJNA224116,SAMN03074578,na,reference genome,1434110,418008,Methanosarcina horonobensis HB-1 = JCM 15518,strain=HB-1,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97028v1,University of Illinois at Urbana-Champaign,GCA_000970285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/285/GCF_000970285.1_ASM97028v1,na,assembly from type material,na,haploid,archaea,5018607,5018607,41.5,1,1,1,NCBI RefSeq,GCF_000970285.1-RS_2024_03_28,28/03/2024,4521,4357,69,na
GCF_000970265.1,PRJNA224116,SAMN03074579,na,reference genome,1434111,170861,Methanosarcina lacustris Z-7289,strain=Z-7289,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97026v1,University of Illinois at Urbana-Champaign,GCA_000970265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/265/GCF_000970265.1_ASM97026v1,na,na,na,haploid,archaea,4139808,4139808,42,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),16/02/2024,3506,3339,67,na
GCF_000970245.1,PRJNA224116,SAMN03074581,na,na,1434113,2209,Methanosarcina mazei C16,strain=C16,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97024v1,University of Illinois at Urbana-Champaign,GCA_000970245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/245/GCF_000970245.1_ASM97024v1,na,assembly from synonym type material,na,haploid,archaea,4166241,4166241,41.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3572,3398,69,na
GCF_000970225.1,PRJNA224116,SAMN03074582,na,na,1434114,2209,Methanosarcina mazei LYC,strain=LYC,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97022v1,University of Illinois at Urbana-Champaign,GCA_000970225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/225/GCF_000970225.1_ASM97022v1,na,na,na,haploid,archaea,4154344,4154344,41.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3582,3442,68,na
GCF_000970185.1,PRJNA224116,SAMN03074584,na,na,1434115,2209,Methanosarcina mazei SarPi,strain=SarPi,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97018v1,University of Illinois at Urbana-Champaign,GCA_000970185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/185/GCF_000970185.1_ASM97018v1,na,na,na,haploid,archaea,4066551,4066551,41.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3473,3334,68,na
GCF_025035885.1,PRJNA224116,SAMN03074585,na,na,1434116,2209,Methanosarcina mazei TMA,strain=TMA,na,latest,Chromosome,Major,Full,07/09/2022,ASM2503588v1,University of Illinois at Urbana-Champaign,GCA_025035885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/035/885/GCF_025035885.1_ASM2503588v1,na,na,na,haploid,archaea,4403296,4346543,41.5,1,1,1,NCBI RefSeq,GCF_025035885.1-RS_2024_09_21,21/09/2024,3772,3589,66,na
GCF_000970165.1,PRJNA224116,SAMN03074586,na,na,1434117,2209,Methanosarcina mazei WWM610,strain=WWM610,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97016v1,University of Illinois at Urbana-Champaign,GCA_000970165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/165/GCF_000970165.1_ASM97016v1,na,na,na,haploid,archaea,4096482,4096482,41.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),01/02/2024,3520,3371,68,na
GCF_000970145.1,PRJNA224116,SAMN03074587,na,na,1434118,38027,Methanosarcina siciliae C2J,strain=C2J,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97014v1,University of Illinois at Urbana-Champaign,GCA_000970145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/145/GCF_000970145.1_ASM97014v1,na,na,na,haploid,archaea,5427890,5427890,42.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/02/2024,4744,4444,67,na
GCF_000970125.1,PRJNA224116,SAMN03074588,na,na,1434119,38027,Methanosarcina siciliae HI350,strain=HI350,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97012v1,University of Illinois at Urbana-Champaign,GCA_000970125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/125/GCF_000970125.1_ASM97012v1,na,na,na,haploid,archaea,4941115,4941115,43,1,1,1,NCBI RefSeq,GCF_000970125.1-RS_2024_10_11,11/10/2024,4211,4010,67,na
GCF_000970085.1,PRJNA224116,SAMN03074589,na,reference genome,1434120,38027,Methanosarcina siciliae T4/M,strain=T4/M,na,latest,Complete Genome,Major,Full,07/04/2015,ASM97008v1,University of Illinois at Urbana-Champaign,GCA_000970085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/085/GCF_000970085.1_ASM97008v1,na,assembly from type material,na,haploid,archaea,5017558,5017558,43,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/02/2024,4302,4104,67,na
GCF_000969925.1,PRJNA224116,SAMN03074595,na,na,1434121,2210,Methanosarcina thermophila CHTI-55,strain=CHTI-55,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96992v1,University of Illinois at Urbana-Champaign,GCA_000969925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/925/GCF_000969925.1_ASM96992v1,na,na,na,haploid,archaea,3130228,3130228,41,1,1,1,NCBI RefSeq,GCF_000969925.1-RS_2024_10_11,11/10/2024,2775,2670,68,na
GCF_000969905.1,PRJNA224116,SAMN03074598,na,reference genome,1434123,2215,Methanosarcina vacuolata Z-761,strain=Z-761,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96990v1,University of Illinois at Urbana-Champaign,GCA_000969905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/905/GCF_000969905.1_ASM96990v1,na,assembly from type material,na,haploid,archaea,4563885,4563885,39.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),16/02/2024,3792,3602,71,na
